Port,TCP,UDP,SCTP,DCCP,Description,type
1433,Yes,Yes,,,Microsoft SQL Server database management system (MSSQL) server,registered
1434,Yes,Yes,,,Microsoft SQL Server database management system (MSSQL) monitor,registered
1476,Yes,Yes,,,WiFi Pineapple Hak5.,registered
1481,Yes,Yes,,,AIRS data interchange.,registered
1492,Unofficial,,,,"Sid Meier's CivNet, a multiplayer remake of the original Sid Meier's Civilization game[citation needed]",registered
1494,Unofficial,Unofficial,,,Citrix Independent Computing Architecture (ICA)[133],registered
1500,Unofficial,,,,IBM Tivoli Storage Manager server[134],registered
1501,Unofficial,,,,IBM Tivoli Storage Manager client scheduler[134],registered
1503,Unofficial,Unofficial,,,Windows Live Messenger (Whiteboard and Application Sharing)[135],registered
1512,Yes,Yes,,,Microsoft's Windows Internet Name Service (WINS),registered
1513,Unofficial,Unofficial,,,Garena game client[citation needed],registered
1521,Yes,Yes,,,nCUBE License Manager,registered
1524,Yes,Yes,,,"ingreslock, ingres",registered
1527,Yes,Yes,,,"Oracle Net Services, formerly known as SQL*Net[137]",registered
1533,Yes,Yes,,,IBM Sametime Virtual Places Chat,registered
1534,No,Unofficial,,,Eclipse Target Communication Framework[139],registered
1540,Unofficial,Unofficial,,,1C:Enterprise server agent (ragent)[140][141],registered
1541,Unofficial,Unofficial,,,1C:Enterprise master cluster manager (rmngr)[140],registered
1542,Unofficial,Unofficial,,,1C:Enterprise configuration repository server[140],registered
1545,Unofficial,Unofficial,,,1C:Enterprise cluster administration server (RAS)[140],registered
1547,Yes,Yes,,,Laplink,registered
1550,Unofficial,Unofficial,,,1C:Enterprise debug server[140],registered
1560,Unofficial,Unofficial,,,1C:Enterprise cluster working processes[140],registered
1561,Unofficial,Unofficial,,,1C:Enterprise cluster working processes[140],registered
1562,Unofficial,Unofficial,,,1C:Enterprise cluster working processes[140],registered
